n1,n2,weight
Reagan1984Disg,Reagan1984Know,0.158402115
Reagan1984Symp,Reagan1984Know,0
Reagan1984Uneasy,Reagan1984Know,0
Bias,Reagan1984Example,-1.927482746
Reagan1984Hard,Reagan1984Example,0
Reagan1984Decent,Reagan1984Example,-0.393996859
Reagan1984Comp,Reagan1984Example,-0.155456148
Reagan1984Respect,Reagan1984Example,0
Reagan1984Int,Reagan1984Example,0
Reagan1984Moral,Reagan1984Example,-0.19720405
Reagan1984Kind,Reagan1984Example,0
Reagan1984Insp,Reagan1984Example,0.643699191
Reagan1984Know,Reagan1984Example,0
Reagan1984Example,Reagan1984Example,0
Reagan1984Cares,Reagan1984Example,0
Reagan1984Lead,Reagan1984Example,0
Reagan1984Und,Reagan1984Example,0.10565658
Reagan1984Fair,Reagan1984Example,0
Reagan1984Touch,Reagan1984Example,1.708214788
Reagan1984Angry,Reagan1984Example,-0.318845352
Reagan1984Hope,Reagan1984Example,0
Reagan1984Afr,Reagan1984Example,0
Reagan1984Prou,Reagan1984Example,0
Reagan1984Disg,Reagan1984Example,-0.179688698
Reagan1984Symp,Reagan1984Example,0
Reagan1984Uneasy,Reagan1984Example,0
Bias,Reagan1984Cares,-2.938774136
Reagan1984Hard,Reagan1984Cares,0.681323226
Reagan1984Decent,Reagan1984Cares,0.185495311
Reagan1984Comp,Reagan1984Cares,0.141423132
Reagan1984Respect,Reagan1984Cares,0.204111774
Reagan1984Int,Reagan1984Cares,0.343256902
Reagan1984Moral,Reagan1984Cares,0.474555301
Reagan1984Kind,Reagan1984Cares,0.102984971
Reagan1984Insp,Reagan1984Cares,0
Reagan1984Know,Reagan1984Cares,1.498144769
Reagan1984Example,Reagan1984Cares,0
Reagan1984Cares,Reagan1984Cares,0
Reagan1984Lead,Reagan1984Cares,0.57811344
Reagan1984Und,Reagan1984Cares,0
Reagan1984Fair,Reagan1984Cares,0.457842287
Reagan1984Touch,Reagan1984Cares,0
Reagan1984Angry,Reagan1984Cares,0.09495669
Reagan1984Hope,Reagan1984Cares,0
Reagan1984Afr,Reagan1984Cares,0.189121516
Reagan1984Prou,Reagan1984Cares,0
Reagan1984Disg,Reagan1984Cares,0
Reagan1984Symp,Reagan1984Cares,0.844943769
Reagan1984Uneasy,Reagan1984Cares,0
Bias,Reagan1984Lead,-0.802337341
Reagan1984Hard,Reagan1984Lead,0.962974164
Reagan1984Decent,Reagan1984Lead,0.574153713
Reagan1984Comp,Reagan1984Lead,0
Reagan1984Respect,Reagan1984Lead,0.064650781
Reagan1984Int,Reagan1984Lead,0
Reagan1984Moral,Reagan1984Lead,0.447747366
Reagan1984Kind,Reagan1984Lead,0
Reagan1984Insp,Reagan1984Lead,-0.232176609
Reagan1984Know,Reagan1984Lead,0.142087535
Reagan1984Example,Reagan1984Lead,0
Reagan1984Cares,Reagan1984Lead,0.57811344
Reagan1984Lead,Reagan1984Lead,0
Reagan1984Und,Reagan1984Lead,-0.369327399
Reagan1984Fair,Reagan1984Lead,0.213360439
Reagan1984Touch,Reagan1984Lead,0
Reagan1984Angry,Reagan1984Lead,0.075910889
Reagan1984Hope,Reagan1984Lead,0.239218624
Reagan1984Afr,Reagan1984Lead,0
Reagan1984Prou,Reagan1984Lead,1.354448624
Reagan1984Disg,Reagan1984Lead,0.476602526
Reagan1984Symp,Reagan1984Lead,0
Reagan1984Uneasy,Reagan1984Lead,0
Bias,Reagan1984Und,0.367462313
Reagan1984Hard,Reagan1984Und,-0.08759992
Reagan1984Decent,Reagan1984Und,-0.419429511
Reagan1984Comp,Reagan1984Und,-0.251887334
Reagan1984Respect,Reagan1984Und,0
Reagan1984Int,Reagan1984Und,-0.352338565
Reagan1984Moral,Reagan1984Und,-0.259875727
Reagan1984Kind,Reagan1984Und,-0.222710217
Reagan1984Insp,Reagan1984Und,1.466386937
Reagan1984Know,Reagan1984Und,0
Reagan1984Example,Reagan1984Und,0.10565658
Reagan1984Cares,Reagan1984Und,0
Reagan1984Lead,Reagan1984Und,-0.369327399
Reagan1984Und,Reagan1984Und,0
Reagan1984Fair,Reagan1984Und,0
Reagan1984Touch,Reagan1984Und,0.63717273
Reagan1984Angry,Reagan1984Und,0
Reagan1984Hope,Reagan1984Und,-0.211638199
Reagan1984Afr,Reagan1984Und,-0.197382549
Reagan1984Prou,Reagan1984Und,0
Reagan1984Disg,Reagan1984Und,-0.146590803
Reagan1984Symp,Reagan1984Und,0
Reagan1984Uneasy,Reagan1984Und,0
Bias,Reagan1984Fair,-1.544600795
Reagan1984Hard,Reagan1984Fair,0
Reagan1984Decent,Reagan1984Fair,0
Reagan1984Comp,Reagan1984Fair,0.356080093
Reagan1984Respect,Reagan1984Fair,0
Reagan1984Int,Reagan1984Fair,0
